"","Borough","GSS_Code","MajorText","Date","count_by_borough"
"303","Barking and Dagenham","E09000002","Theft and Handling",2013-05-01,528
"304","Barking and Dagenham","E09000002","Violence Against the Person",2013-05-01,313
"305","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-06-01,133
"306","Barking and Dagenham","E09000002","Burglary",2013-06-01,144
"307","Barking and Dagenham","E09000002","Drug Offences",2013-06-01,100
"308","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-06-01,21
"309","Barking and Dagenham","E09000002","Robbery",2013-06-01,28
"310","Barking and Dagenham","E09000002","Sexual Offences",2013-06-01,29
"311","Barking and Dagenham","E09000002","Theft and Handling",2013-06-01,455
"312","Barking and Dagenham","E09000002","Violence Against the Person",2013-06-01,313
"313","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-07-01,144
"314","Barking and Dagenham","E09000002","Burglary",2013-07-01,159
"315","Barking and Dagenham","E09000002","Drug Offences",2013-07-01,101
"316","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-07-01,27
"317","Barking and Dagenham","E09000002","Robbery",2013-07-01,44
"318","Barking and Dagenham","E09000002","Sexual Offences",2013-07-01,35
"319","Barking and Dagenham","E09000002","Theft and Handling",2013-07-01,543
"320","Barking and Dagenham","E09000002","Violence Against the Person",2013-07-01,375
"321","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-08-01,145
"322","Barking and Dagenham","E09000002","Burglary",2013-08-01,147
"323","Barking and Dagenham","E09000002","Drug Offences",2013-08-01,82
"324","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-08-01,25
"325","Barking and Dagenham","E09000002","Robbery",2013-08-01,35
"326","Barking and Dagenham","E09000002","Sexual Offences",2013-08-01,26
"327","Barking and Dagenham","E09000002","Theft and Handling",2013-08-01,435
"328","Barking and Dagenham","E09000002","Violence Against the Person",2013-08-01,335
"329","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-09-01,130
"330","Barking and Dagenham","E09000002","Burglary",2013-09-01,132
"331","Barking and Dagenham","E09000002","Drug Offences",2013-09-01,79
"332","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-09-01,26
"333","Barking and Dagenham","E09000002","Robbery",2013-09-01,47
"334","Barking and Dagenham","E09000002","Sexual Offences",2013-09-01,21
"335","Barking and Dagenham","E09000002","Theft and Handling",2013-09-01,466
"336","Barking and Dagenham","E09000002","Violence Against the Person",2013-09-01,312
"337","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-10-01,141
"338","Barking and Dagenham","E09000002","Burglary",2013-10-01,191
"339","Barking and Dagenham","E09000002","Drug Offences",2013-10-01,87
"340","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-10-01,29
"341","Barking and Dagenham","E09000002","Robbery",2013-10-01,52
"342","Barking and Dagenham","E09000002","Sexual Offences",2013-10-01,23
"343","Barking and Dagenham","E09000002","Theft and Handling",2013-10-01,456
"344","Barking and Dagenham","E09000002","Violence Against the Person",2013-10-01,350
"345","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-11-01,150
"346","Barking and Dagenham","E09000002","Burglary",2013-11-01,200
"347","Barking and Dagenham","E09000002","Drug Offences",2013-11-01,84
"348","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-11-01,22
"349","Barking and Dagenham","E09000002","Robbery",2013-11-01,45
"350","Barking and Dagenham","E09000002","Sexual Offences",2013-11-01,11
"351","Barking and Dagenham","E09000002","Theft and Handling",2013-11-01,487
"352","Barking and Dagenham","E09000002","Violence Against the Person",2013-11-01,365
"353","Barking and Dagenham","E09000002","Arson and Criminal Damage",2013-12-01,139
"354","Barking and Dagenham","E09000002","Burglary",2013-12-01,143
"355","Barking and Dagenham","E09000002","Drug Offences",2013-12-01,72
"356","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2013-12-01,25
"357","Barking and Dagenham","E09000002","Robbery",2013-12-01,30
"358","Barking and Dagenham","E09000002","Sexual Offences",2013-12-01,22
"359","Barking and Dagenham","E09000002","Theft and Handling",2013-12-01,412
"360","Barking and Dagenham","E09000002","Violence Against the Person",2013-12-01,336
"361","Barking and Dagenham","E09000002","Arson and Criminal Damage",2014-01-01,131
"362","Barking and Dagenham","E09000002","Burglary",2014-01-01,161
"363","Barking and Dagenham","E09000002","Drug Offences",2014-01-01,63
"364","Barking and Dagenham","E09000002","Miscellaneous Crimes Against Society",2014-01-01,31
